sectorMappingId,sectorName
SM-000326,Renewables/ Solar
SM-000297,Renewables/ Battery
SM-000360,Renewables/ Wind
SM-000324,Renewables/ Solar
SM-000296,Renewables/ Battery
SM-000358,Renewables/ Wind
SM-000323,Renewables/ Solar
SM-000295,Renewables/ Battery
SM-000294,Renewables/ Battery
SM-000293,Renewables/ Battery
SM-000292,Renewables/ Battery
SM-000356,Renewables/ Wind
SM-000291,Renewables/ Battery
SM-000290,Prefabricated Construction
SM-000289,Prefabricated Construction
SM-000288,Prefabricated Construction
SM-000287,Prefabricated Construction
SM-000286,Prefabricated Construction
SM-000283,Prefabricated Construction
SM-000282,Prefabricated Construction
SM-000281,Prefabricated Construction
SM-000280,Prefabricated Construction
SM-000278,Prefabricated Construction
SM-000277,Prefabricated Construction
SM-000276,Prefabricated Construction
SM-000275,Prefabricated Construction
SM-000274,Prefabricated Construction
SM-000273,Power Transmission
SM-000272,Power Transmission
SM-000271,Power Transmission
SM-000270,Power Transmission
SM-000269,Power Transmission
SM-000268,Power Transmission
SM-000266,Power Transmission
SM-000265,Power Transmission
SM-000264,Power Transmission
SM-000263,Power Transmission
SM-000261,Power Transmission
SM-000260,Power Transmission
SM-000259,Power Transmission
SM-000258,Power Transmission
SM-000257,Power Transmission
SM-000256,Power Transmission
SM-000255,Power Transmission
SM-000254,Power Transmission
SM-000252,Power Transmission
SM-000384,Renewables/ Wind
SM-000347,Renewables/ Solar
SM-000318,Renewables/ Battery
SM-000245,Power Transmission
SM-000244,Power Transmission
SM-000243,Power Transmission
SM-000241,Power Transmission
SM-000240,Power Transmission
SM-000239,Power Transmission
SM-000238,Power Transmission
SM-000237,Power Transmission
SM-000236,Power Transmission
SM-000235,Power Transmission
SM-000234,Power Transmission
SM-000233,Power Transmission
SM-000232,Power Transmission
SM-000231,Power Transmission
SM-000230,Power Transmission
SM-000228,Power Transmission
SM-000226,Power Transmission
SM-000225,Power Transmission
SM-000224,Power Transmission
SM-000223,Power Transmission
SM-000222,Power Transmission
SM-000221,Power Transmission
SM-000219,Power Transmission
SM-000218,Power Transmission
SM-000217,Power Transmission
SM-000216,Power Transmission
SM-000369,Renewables/ Wind
SM-000335,Renewables/ Solar
SM-000307,Renewables/ Battery
SM-000215,Power Transmission
SM-000332,Renewables/ Solar
SM-000304,Renewables/ Battery
SM-000214,Power Transmission
SM-000365,Renewables/ Wind
SM-000329,Renewables/ Solar
SM-000301,Renewables/ Battery
SM-000213,Power Transmission
SM-000211,Power Transmission
SM-000210,Power Transmission
SM-000209,Power Transmission
SM-000208,Power Transmission
SM-000207,Power Transmission
SM-000206,Power Transmission
SM-000205,Power Transmission
SM-000204,Power Transmission
SM-000203,Power Transmission
SM-000202,Power Transmission
SM-000200,Power Transmission
SM-000199,Power Transmission
SM-000198,Power Transmission
SM-000197,Power Transmission
SM-000196,Power Transmission
SM-000195,Power Transmission
SM-000194,Power Transmission
SM-000193,Power Transmission
SM-000359,Renewables/ Wind
