itemId,itemName
ITM-001488,whitegoods - refrigerator
ITM-004119,electrical - general power outlets (GPO)
ITM-002627,partitions - toilets
ITM-003587,duress alarm system
ITM-001776,workstations and office furniture
ITM-002146,mirrors and splashbacks
ITM-004893,mattresses
ITM-002797,furniture - chairs/stools
ITM-002561,bed - hospital
ITM-001881,nurse call system
ITM-006839,electrical - switches
ITM-009840,flooring - laminate
ITM-002411,whitegoods - cooktop
ITM-002290,whitegoods
ITM-009839,electrical - heaters
ITM-005555,flooring - timber
ITM-009838,flooring - bamaboo
ITM-001603,level sensor
ITM-005558,smoke detectors
ITM-002796,furniture - tables/desks
ITM-001975,playground equipment
ITM-002381,cupboards and shelving
ITM-001412,whitegoods - commercial dishwasher
ITM-002831,outdoor furniture
ITM-002978,furniture - beds
ITM-001722,carpet tiles - nylon
ITM-002329,leak detection system
ITM-008007,bath tubs
ITM-001527,wash basins
ITM-002620,barbecue
ITM-003172,acoustic panels
ITM-002431,access control system
ITM-008430,electrical charging station
ITM-002304,ICT software licensing
ITM-009850,wave energy system
ITM-001601,valves - control
ITM-003573,valves - gate
ITM-009846,hydraulics - reactor
ITM-009849,solar/thermal power system
ITM-001553,pipe - steel
ITM-002713,mechanical - boilers
ITM-009854,turbines
ITM-009847,pyrolysis system
ITM-002176,maintenance services
ITM-009851,hydraulics - heat exchangers
ITM-001671,engineering services
ITM-009853,hydraulics - draft tube gate
ITM-003539,labour - civil
ITM-009852,compressed air energy system
ITM-009848,hydraulics - boilers
ITM-009845,biodiesel production system
ITM-009405,anaerobic digester
ITM-003537,tank mixers
ITM-009888,additive manufacturing - vibratory finishing equipment
ITM-009869,additive manufacturing - photopolymerization
ITM-009880,additive manufacturing - polymer powders
ITM-009878,additive manufacturing - pellets
ITM-009877,additive manufacturing - filament
ITM-009891,additive manufacturing - furnaces
ITM-006123,Systems integration services
ITM-009875,additive manufacturing - sheet lamination
ITM-002355,quality assessment services
ITM-009893,additive manufacturing - production centres
ITM-009872,additive manufacturing - powder bed fusion
ITM-009882,additive manufacturing - binders
ITM-009876,additive manufacturing - resins
ITM-001745,paint
ITM-002042,mesh
ITM-009879,additive manufacturing - metal powers
ITM-009885,additive manufacturing - metal sheets/foils
ITM-009887,additive manufacturing - polishing equipment
ITM-009889,additive manufacturing - blast finshing equipment
ITM-009870,additive manufacturing - material jetting
ITM-009890,additive manufacturing - HIP equipment
ITM-002336,protective coatings
ITM-009886,additive manufacturing - electrofinishing equipment
ITM-009874,additive manufacturing - direct energy deposition
ITM-009884,additive manufacturing - composite reinforced materials
ITM-009894,additive manufacturing - clean rooms
ITM-009881,additive manufacturing - ceramic powder
ITM-009873,additive manufacturing - binder jetting
ITM-005476,adhesives
