Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name,Formatted_Address,Latitude,Longitude,Geocoding_Service,Geocoding_Status
,,dust and fume extraction system,ITM-002726,"Dust collectors, scrubbers, and gas handling",OC-018224,,001On00000OCssM,Manufacturer,1/07/2025,"171 Derrimut Dr,",Derrimut,VIC,3026,,,"171 Derrimut Dr, Derrimut, VIC, 3026",-37.8062356,144.7537739,nominatim,success
Subtotal,Count,5,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,,,,,,skipped
DITM-000528,,tanks,ITM-002397,Precipitation Tanks,OC-011035,,001On0000021DqB,Manufacturer,1/07/2025,4 Industrial Court,Irymple,VIC,3498,SM-000515,Critical Minerals,"4 Industrial Court, Irymple, VIC, 3498",-34.235869,142.1661131,nominatim,success
Subtotal,Count,1,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,,,,,,skipped
DITM-000527,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018199,,001On00000OCssA,Manufacturer,1/07/2025,"Level 25, 177 Pacific Highway,",North Sydney,NSW,2060,SM-000514,Critical Minerals,"Level 25, 177 Pacific Highway, North Sydney, NSW, 2060",-33.83708645,151.20623383318906,photon,success
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018200,,001On00000OCssB,Manufacturer,1/07/2025,16 Nautical Drive,Henderson,WA,6166,,,"16 Nautical Drive, Henderson, WA, 6166",-32.1628245,115.7727113,nominatim,success
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018201,,001On00000OCssC,Manufacturer,1/07/2025,"Level 5/1 Adelaide Terrace,",East Perth,WA,6004,,,"Level 5/1 Adelaide Terrace, East Perth, WA, 6004",-31.9610965,115.875889,nominatim,success
,,tanks,ITM-002397,Leach Reactors/Tanks,OC-018202,,001On00000OCssD,Supplier,1/07/2025,"Level 2 - 4, 179 Grey St,",South Bank,QLD,4104,,,"Level 2 - 4, 179 Grey St, South Bank, QLD, 4104",-27.4796938,153.0219401,photon,success
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,,,,,,skipped
DITM-000526,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018196,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,SM-000512,Critical Minerals,"Level 2, 1110 Hay Street, West Perth, WA, 6005",-31.9511974,115.8429926,photon,success
,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018193,,001On00000OCsrp,Supplier,1/07/2025,"67 Randle Rd,",Pinkenba,QLD,4008,,,"67 Randle Rd, Pinkenba, QLD, 4008",-27.4206576,153.1195491,photon,success
,,filters,ITM-009395,Filter Presses (for hydromet residues),OC-018195,,001On00000OCss2,Supplier,1/07/2025,"27 Kalinya Close,",Cameron Park,NSW,2285,,,"27 Kalinya Close, Cameron Park, NSW, 2285",-32.8941022,151.6003646,nominatim,success
