Detailed Item ID  ↓,,Item Name,Item ID,Detailed Item Name,Organisation Capability,Organisation: Organisation Name,Organisation: Organisation ID,Capability Type,Validation Date,Organisation: Billing Street,Organisation: Billing City,Organisation: Billing State/Province,Organisation: Billing Zip/Postal Code,Sector Mapping ID,Sector Name
,,milling equipment,ITM-009354,High-Pressure Grinding Rolls (HPGR),OC-018133,,001On00000OCsrh,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,,
,,milling equipment,ITM-009354,High-Pressure Grinding Rolls (HPGR),OC-018135,,001On00000OCsri,Supplier,1/07/2025,"1 Marden Street,",Artarmon,NSW,2064,,
Subtotal,Count,5,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000518,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018122,,001On0000029W7i,Supplier,1/07/2025,"1608 Hume Hwy,",Campbellfield,VIC,3061,SM-000495,Critical Minerals
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018123,,001On00000OCsrG,Supplier,1/07/2025,"1 Caterpillar Dr,",Tullamarine,VIC,3024,,
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018126,,001On00000OCsrH,Supplier,1/07/2025,"Level 2, 1110 Hay Street,",West Perth,WA,6005,,
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018124,,001On00000OCsrI,Supplier,1/07/2025,"1 Marden Street,",Artarmon,NSW,2064,,
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018125,,001On00000OCsrK,Supplier,1/07/2025,"11 Commercial Road,",Notting Hill,VIC,3168,,
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018127,,001On00000OCsrb,Supplier,1/07/2025,"19 Reid Road, ",Perth International Airport,WA,6105,,
,,loaders - equipment,ITM-004892,"Loaders (LHDs, underground boggers)",OC-018128,,001On00000OCsrc,Supplier,1/07/2025,"Rm 215 Coronation Drive,",Milton,QLD,4064,,
Subtotal,Count,7,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000517,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018120,,001On000001xA9W,Supplier,1/07/2025,"1 Dr. Willi Liebherr Drive,",Para Hills West,SA,5096,SM-000494,Critical Minerals
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018118,,001On0000029W7i,Supplier,1/07/2025,"1608 Hume Hwy,",Campbellfield,VIC,3061,,
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018119,,001On00000OCsrG,Supplier,1/07/2025,"1 Caterpillar Dr,",Tullamarine,VIC,3024,,
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018115,,001On00000OCsrd,Manufacturer,1/07/2025,"100 Chisholm Crescent,",Kewdale,WA,6105,,
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018116,,001On00000OCsre,Manufacturer,1/07/2025,"17 Export Drive,",Pakenham,VIC,3810,,
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018117,,001On00000OCsrf,Manufacturer,1/07/2025,0,ACACIA RIDGE,QLD,7320,,
,,vehicles - trucks,ITM-002280,Haul Trucks (surface and underground),OC-018121,,001On00000OCsrg,Supplier,1/07/2025,"1 Caterpillar Dr,",Tullamarine,VIC,3024,,
Subtotal,Count,7,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000516,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018102,,001On0000029W7i,Supplier,1/07/2025,"1608 Hume Hwy,",Campbellfield,VIC,3061,SM-000492,Critical Minerals
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018097,,001On00000OCsrW,Manufacturer,1/07/2025,"98-102 Wetherill Street North,",Silverwater,NSW,2128,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018098,,001On00000OCsrX,Manufacturer,1/07/2025,"849 Wellington Street,",West Perth,WA,6005,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018099,,001On00000OCsrY,Manufacturer,1/07/2025,"7 Dougall Street,",Byford,WA,6122,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018100,,001On00000OCsrZ,Manufacturer,1/07/2025,"37 Colemans Rd,",Carrum Downs,VIC,3201,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018101,,001On00000OCsra,Manufacturer,1/07/2025,0,Annerly,QLD,6105,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018103,,001On00000OCsrb,Supplier,1/07/2025,"19 Reid Road, ",Perth International Airport,WA,6105,,
,,Rigging Equipment,ITM-008243,"Drill Rigs (production, exploration, jumbos)",OC-018104,,001On00000OCsrc,Supplier,1/07/2025,"Rm 215 Coronation Drive,",Milton,QLD,4064,,
Subtotal,Count,8,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000515,,conveyor system,ITM-009184,Conveyors,OC-018079,,001On00000OCsrL,Manufacturer,1/07/2025,"29 Glastonbury Ave,",Unanderra,NSW,2526,SM-000489,Critical Minerals
,,conveyor system,ITM-009184,Conveyors,OC-018080,,001On00000OCsrM,Manufacturer,1/07/2025,"39 Quindus St,",Wacol,QLD,4076,,
,,conveyor system,ITM-009184,Conveyors,OC-018081,,001On00000OCsrN,Manufacturer,1/07/2025,"862 Cockburn Road,",Henderson,WA,6166,,
,,conveyor system,ITM-009184,Conveyors,OC-018082,,001On00000OCsrO,Manufacturer,1/07/2025,"Suite 201, Level 2, Small Tower, 63 Parramatta Rd,",Silverwater,NSW,2128,,
Subtotal,Count,4,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000514,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-010978,,0017F00001ueIvk,Manufacturer,1/06/2025,3 Meyer Road,Lonsdale,SA,5160,SM-000486,"Textiles, Clothing & Footwear"
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-010973,,0017F00001ueIvo,Manufacturer,1/06/2025,7 Factories Road,South Geelong,VIC,3220,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-010974,,0017F00001ueIw3,Manufacturer,1/06/2025,34 Airds Road,Minto,NSW,2566,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-018061,,001On000002JkO5,Manufacturer,1/06/2025,"10-14 Gilbertson Road, ",Laverton North,VIC,3026,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-018066,,001On0000074Vh8,Manufacturer,1/06/2025,7-29 Gladstone Road,Dandenong,VIC,3175,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-018060,,001On00000JfZvU,Manufacturer,1/06/2025,"45 Brunel Rd,",Seaford,VIC,3198,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-018064,,001On00000JfaOT,Manufacturer,1/06/2025,"43-55 Mark Anthony Drive,",Dandenong South,VIC,3175,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-010976,,001On00000JfaVG,Manufacturer,1/06/2025,"1/43 Industrial Ave,",Hoppers Crossing,VIC,2029,,
,,carpet - nylon,ITM-001721,Synthetic Carpet,OC-018059,,001On00000OCsrF,Manufacturer,1/06/2025,0,ACACIA RIDGE,QLD,7320,,
Subtotal,Count,9,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000513,,carpet - wool,ITM-001717,Wool Carpet,OC-010969,,0017F00001ueIvk,Manufacturer,1/06/2025,3 Meyer Road,Lonsdale,SA,5160,SM-000485,"Textiles, Clothing & Footwear"
,,carpet - wool,ITM-001717,Wool Carpet,OC-018053,,0017F00001ueIvo,Manufacturer,1/06/2025,7 Factories Road,South Geelong,VIC,3220,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-010875,,001On000002JkO5,Manufacturer,1/06/2025,"10-14 Gilbertson Road, ",Laverton North,VIC,3026,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-018057,,001On0000074Vh8,Manufacturer,1/06/2025,7-29 Gladstone Road,Dandenong,VIC,3175,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-010873,,001On00000As8ZF,Manufacturer,1/06/2025,165–169 Lower Gibbes Street,Chatswood,NSW,2067,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-018055,,001On00000Iq7d2,Manufacturer,1/06/2025,"14 Prince-Patrick Street,",Richmond,VIC,3121,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-018051,,001On00000JfZvU,Manufacturer,1/06/2025,"45 Brunel Rd,",Seaford,VIC,3198,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-010877,,001On00000JfaOT,Manufacturer,1/06/2025,"43-55 Mark Anthony Drive,",Dandenong South,VIC,3175,,
,,carpet - wool,ITM-001717,Wool Carpet,OC-018056,,001On00000JfaVG,Manufacturer,1/06/2025,"1/43 Industrial Ave,",Hoppers Crossing,VIC,2029,,
Subtotal,Count,9,,,,,,,,#N/A,#N/A,#N/A,#N/A,1,
DITM-000512,,clothing,ITM-009904,Clothing - Leisure,OC-017982,,0012t0000034LzU,Designer,1/06/2025,203/25 Gipps,Collingwood,VIC,3066,SM-000484,"Textiles, Clothing & Footwear"
,,clothing,ITM-009904,Clothing - Leisure,OC-010869,,0012t0000034U6X,Manufacturer,1/06/2025,12 Jamieson St,Bowen Hills,QLD,4006,,
,,clothing,ITM-009904,Clothing - Leisure,OC-018045,,0012t0000034U6X,Manufacturer,1/06/2025,12 Jamieson St,Bowen Hills,QLD,4006,,
,,clothing,ITM-009904,Clothing - Leisure,OC-010765,,0012t0000034ncj,Manufacturer,1/06/2025,32a Vestan Drive,Morwell,VIC,3840,,
,,clothing,ITM-009904,Clothing - Leisure,OC-017908,,0012t0000034ncj,Manufacturer,1/06/2025,32a Vestan Drive,Morwell,VIC,3840,,
,,clothing,ITM-009904,Clothing - Leisure,OC-010821,,0012t0000034wXN,Manufacturer,1/06/2025,5 Harker Street,Burwood,VIC,3125,,
,,clothing,ITM-009904,Clothing - Leisure,OC-017984,,0012t0000034wXN,Manufacturer,1/06/2025,5 Harker Street,Burwood,VIC,3125,,
,,clothing,ITM-009904,Clothing - Leisure,OC-010846,,0012t00000360lu,Manufacturer,1/06/2025,"Level 1, 187 Todd Road",Port Melbourne,VIC,3207,,
